title,company,location,salary,skills,url,skills_normalized
Staff Pajak,PT Mulya Kencana Metalindo,Astana Anyar,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/a1b8dc3d-a5fe-43fd-ad99-8e365e412ee3?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,Asta Dahayu Consulting,Menteng,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/316b14ec-aeb8-474d-a7eb-a521f4ef2830?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT. Kamil Group Indonesia,Sidoarjo,"Rp 2,5 jt-4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/a31458b3-7606-4e8f-a0f2-ead3c80f5a9f?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT. Citra Alam Aromindo,Batuceper,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/ea025e6d-6ed1-4c16-a09a-7d46f4682c18?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT Duta Trisarana Prima,Dukuh Pakis,"Rp 3,9 jt-4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/7b2984f4-2519-4d75-a4da-7594b0f62255?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staf Pajak,Warna Textile,Cibeunying Kidul,Rp 3 jt-4 jt,,https://glints.com/id/opportunities/jobs/staf-pajak/45ed9708-6404-48cc-b061-cad25c4807e1?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT. Terang Cahaya Abadi Sejati,Panyileukan,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/0c9f6b9b-cf21-43f5-a694-ff9754ac135f?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,Arcadia Group,Baki,Rp 2 jt-3 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/a2eed929-76ff-4d8a-b49f-1d4f347aea34?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,Baliyoni Group,Denpasar Selatan,"Rp 3 jt-3,2 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/667abb3a-8f82-4a10-8722-fcca280ccc16?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
STAFF PAJAK,PT Bumi Mandiri Resources,Asem Rowo,Tidak Ditampilkan,,https://glints.com/id/opportunities/jobs/staff-pajak/46f97ab2-0944-4edb-abcb-814ce1f25497?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT. Anugerah Putra Siantan,Singosari,Rp 3 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/c048c196-6596-44b9-ade0-0395fbc409e4?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
staff pajak,PT GAGACLO,Ngaliyan,"Rp 3,7 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/93bced11-90fa-43a0-aacd-d17bfcaa9b54?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT. Industrial Multi Fan,Penjaringan,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/e3bfdd7f-2ef9-42db-88d2-399b2bd064f1?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
staff pajak,pt. donmi,Cengkareng,"Rp 4,4 jt-6 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/37abc357-7f4e-4e2c-a69c-9ea8a23ea367?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,Eraprima Eftacipta Property,Batuceper,"Rp 6 jt-7,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/b519e6dc-45de-4c14-9898-c39a33dd78de?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT Asia Bewickham Consulting,Kosambi,Rp 6 jt-8 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/8be07676-93e3-43c6-93c1-f4eb6433bb2b?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT SAMSUNG PRINT AND PACK,Gunung Putri,Rp 7 jt-8 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/afdb0dbc-fdc1-4f9f-aa59-62011f6ca3bf?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,Hamzah Batik,Kapanewon Gamping,"Rp 2,7 jt-3,5 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/ae249d19-4add-4e08-9e17-ef4b44b52b91?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staf Pajak,PT. INDRICIPTA ADITAMA,Bojongloa Kidul,Rp 4 jt-5 jt,,https://glints.com/id/opportunities/jobs/staf-pajak/8417759d-0787-49cd-88dd-2177e8d9af7f?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT Indoparts Mobile Phones,Penjaringan,Rp 5 jt-6 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/990e7eba-d642-4cbe-86f0-395b706490bd?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT Sinergi Satria Perkasa,Tanah Sareal,"Rp 4 jt-4,7 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/59f4c967-81c1-4370-97d7-50571759e1d0?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
staff pajak,PT. Wowin Purnomo Putera,Pogalan,"Rp 2,3 jt-2,6 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/ba7b8ebb-f924-41cb-bf71-26983d4794fe?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
STAFF PAJAK,PT Belanja Royal Makmur,Medan Perjuangan,Rp 3 jt-4 jt,,https://glints.com/id/opportunities/jobs/staff-pajak/b0b6ae36-57f5-43f1-9de6-47bd7f68a72e?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
STAFF PAJAK,Syaamil Group,Kiaracondong,"Rp 3,7 jt-4,4 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/1d3b0a20-325f-44ce-b21e-f32362cb1c89?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Staff Pajak,PT Singa Berlian Plastik,Grogol Petamburan,"Rp 4,4 jt-6,6 jt",,https://glints.com/id/opportunities/jobs/staff-pajak/cc12fc59-d8a8-43f5-9754-412a09993e5c?utm_referrer=explore&traceInfo=ce57eaeea7c3b9d8a804994c9e6aeda6,
Tax Staff (Staf Pajak),SC Advisory,Cengkareng,Rp 4 jt-6 jt,,https://glints.com/id/opportunities/jobs/tax-staff-staf-pajak/0493d4c5-55d6-40ff-8bad-40dd219b90a8?traceInfo=251f7850-062f-427f-8052-0846b5c92442,
